congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
62,President,99894,99,0,USA,200,0,0,"TAFT, William Howard",,1857,1930,0.175,-0.985,-1.16636,0.899,11,0,,,
62,Senate,403,41,0,AL,100,0,3,"BANKHEAD, John Hollis",B000110,1842,1920,-0.38,-0.492,-64.64814,0.738,213,33,,-0.345,-0.829
62,Senate,5007,41,0,AL,100,0,3,"JOHNSTON, Joseph Forney",J000193,1843,1913,-0.477,-0.713,-75.99563,0.783,310,42,,-0.461,-0.688
62,Senate,273,61,0,AZ,100,0,3,"ASHURST, Henry Fountain",A000319,1874,1962,-0.231,0.211,-47.68903,0.818,237,21,,-0.282,0.243
62,Senate,8665,61,0,AZ,100,0,3,"SMITH, Marcus Aurelius",S000589,1851,1924,-0.338,-0.297,-59.30803,0.771,228,30,,-0.28,0.001
62,Senate,1793,42,0,AR,100,0,3,"CLARKE, James Paul",C000463,1854,1916,-0.132,-0.021,-117.18571,0.55,196,50,,-0.036,0.295
62,Senate,2392,42,0,AR,100,1,3,"DAVIS, Jeff",D000112,1862,1913,-0.481,0.037,-8.74608,0.889,74,2,,-0.489,-0.008
62,Senate,4287,42,0,AR,100,2,5,"HEISKELL, John Netherland",H000457,1872,1972,,,,,,,,-0.311,-0.123
62,Senate,5104,42,0,AR,100,3,5,"KAVANAUGH, William Marmaduke",K000023,1866,1915,-0.426,-0.695,-9.33528,0.801,42,4,,-0.46,-0.75
62,Senate,7345,71,0,CA,200,0,3,"PERKINS, George Clement",P000232,1839,1923,0.308,-0.021,-87.16956,0.774,340,34,,0.323,-0.093
62,Senate,10372,71,0,CA,200,0,3,"WORKS, John Downey",W000743,1847,1928,0.232,0.482,-132.09456,0.648,304,73,,0.178,0.344
62,Senate,3873,62,0,CO,200,0,3,"GUGGENHEIM, Simon",G000520,1867,1941,0.517,-0.215,-24.15493,0.87,173,10,,0.507,-0.161
62,Senate,9288,62,0,CO,100,0,3,"THOMAS, Charles Spalding",T000160,1849,1934,-0.185,0.214,-34.32286,0.594,66,18,,-0.289,0.31
62,Senate,978,1,0,CT,200,0,3,"BRANDEGEE, Frank Bosworth",B000769,1864,1924,0.778,-0.628,-51.22068,0.848,310,22,,0.73,-0.508
62,Senate,6335,1,0,CT,200,0,3,"McLEAN, George Payne",M000547,1857,1932,0.496,-0.373,-69.65963,0.776,275,37,,0.384,-0.167
62,Senate,2781,11,0,DE,200,0,3,"du PONT, Henry Algernon",D000559,1838,1926,0.549,-0.559,-45.99316,0.803,210,21,,0.47,-0.66
62,Senate,7876,11,0,DE,200,0,3,"RICHARDSON, Harry Alden",R000221,1853,1928,0.494,-0.581,-27.59395,0.866,192,9,,0.489,-0.461
62,Senate,1177,43,0,FL,100,0,3,"BRYAN, Nathan Philemon",B000992,1872,1935,-0.388,-0.557,-82.74126,0.772,319,40,,-0.449,-0.579
62,Senate,3216,43,0,FL,100,0,3,"FLETCHER, Duncan Upshaw",F000200,1859,1936,-0.365,-0.37,-89.36492,0.758,322,40,,-0.41,-0.694
62,Senate,322,44,0,GA,100,0,3,"BACON, Augustus Octavius",B000014,1839,1914,-0.39,-0.187,-43.91066,0.848,267,19,,-0.448,-0.381
62,Senate,8633,44,0,GA,100,2,3,"SMITH, Hoke",S000551,1855,1931,-0.234,-0.233,-86.7295,0.712,255,42,,-0.474,-0.393
62,Senate,9260,44,0,GA,100,1,3,"TERRELL, Joseph Meriwether",T000131,1861,1912,-0.646,-0.167,,,,,,-0.472,-0.881
62,Senate,858,63,0,ID,200,0,3,"BORAH, William Edgar",B000634,1865,1940,0.191,0.704,-104.34277,0.699,291,46,,0.232,0.691
62,Senate,964,63,0,ID,200,3,3,"BRADY, James Henry",B000753,1862,1918,0.282,0.497,-19.4279,0.623,41,9,,0.226,0.361
62,Senate,4377,63,0,ID,200,1,3,"HEYBURN, Weldon Brinton",H000554,1852,1912,0.318,-0.946,-68.24077,0.687,182,26,,0.384,-0.923
62,Senate,7351,63,0,ID,100,2,5,"PERKY, Kirtland Irving",P000238,1867,1939,-0.64,0.21,-8.79972,0.829,47,3,,-0.627,0.27
62,Senate,2239,21,0,IL,200,0,3,"CULLOM, Shelby Moore",C000973,1829,1914,0.286,-0.442,-68.48463,0.769,261,29,,0.379,-0.201
62,Senate,5781,21,0,IL,200,0,3,"LORIMER, William",L000444,1861,1934,0.452,-0.129,-36.98955,0.571,66,16,,0.375,-0.015
62,Senate,5201,22,0,IN,100,0,3,"KERN, John Worth",K000132,1849,1917,-0.287,0.072,-46.36829,0.817,230,17,,-0.286,0.248
62,Senate,8478,22,0,IN,100,0,3,"SHIVELY, Benjamin Franklin",S000371,1857,1916,-0.29,0.092,-80.11737,0.776,316,32,,-0.279,0.098
62,Senate,2252,31,0,IA,200,0,3,"CUMMINS, Albert Baird",C000988,1850,1926,0.248,0.55,-108.23489,0.729,343,46,,0.291,0.751
62,Senate,5198,31,0,IA,200,2,3,"KENYON, William Squire",K000129,1869,1933,0.182,0.827,-82.29236,0.721,252,28,,0.241,0.971
62,Senate,10449,31,0,IA,200,1,3,"YOUNG, Lafayette",Y000046,1848,1926,0.395,0.145,,,,,,,
62,Senate,1046,32,0,KS,200,0,3,"BRISTOW, Joseph Little",B000844,1861,1944,0.231,0.973,-110.81169,0.738,365,50,,0.26,0.941
62,Senate,2269,32,0,KS,200,0,3,"CURTIS, Charles",C001008,1860,1936,0.433,0.248,-68.6481,0.759,249,25,,0.38,0.105
62,Senate,960,51,0,KY,200,0,3,"BRADLEY, William O'Connell",B000749,1847,1914,0.412,-0.37,-58.45125,0.797,258,29,,0.361,-0.366
62,Senate,7276,51,0,KY,100,0,3,"PAYNTER, Thomas Hanson",P000156,1851,1921,-0.37,-0.299,-99.06327,0.608,199,50,,-0.429,-0.903
62,Senate,3312,45,0,LA,100,0,3,"FOSTER, Murphy James",F000310,1849,1921,-0.287,-0.88,-52.5947,0.755,187,27,,-0.26,-0.965
62,Senate,9359,45,0,LA,100,0,3,"THORNTON, John Randolph",T000241,1846,1917,-0.143,-0.862,-92.36277,0.736,301,44,,-0.129,-0.774
62,Senate,3385,2,0,ME,200,1,3,"FRYE, William Pierce",F000398,1830,1911,0.387,-0.432,,,,,,0.446,-0.066
62,Senate,3471,2,0,ME,100,2,5,"GARDNER, Obadiah",G000060,1852,1938,-0.161,0.041,-48.11806,0.698,134,19,,-0.155,0.067
62,Senate,4947,2,0,ME,100,0,3,"JOHNSON, Charles Fletcher",J000124,1859,1930,-0.168,-0.162,-103.49856,0.718,313,53,,-0.115,-0.076
62,Senate,4867,52,0,MD,200,2,5,"JACKSON, William Purnell",J000030,1868,1939,0.463,-0.149,-9.82924,0.808,46,4,,0.508,0.104
62,Senate,7757,52,0,MD,100,1,3,"RAYNER, Isidor",R000086,1850,1912,-0.296,-0.537,-26.27929,0.734,85,11,,-0.223,-0.354
62,Senate,8658,52,0,MD,100,0,3,"SMITH, John Walter",S000577,1845,1925,-0.406,-0.914,-35.88361,0.824,185,15,,-0.328,-0.675
