congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
46,President,99887,99,0,USA,200,,,"HAYES, Rutherford Birchard",H000393,1822,1893,,,,,,,,,
46,House,1834,41,6,AL,100,2,2,"CLEMENTS, Newton Nash",C000509,1837,1900,-0.672,0.217,-13.57984,0.872,99,6,,-0.667,0.205
46,House,3283,41,7,AL,100,0,1,"FORNEY, William Henry",F000280,1823,1894,-0.51,-0.006,-73.30826,0.83,393,27,,-0.457,0.033
46,House,4349,41,2,AL,100,0,1,"HERBERT, Hilary Abner",H000524,1834,1919,-0.492,-0.346,-73.8355,0.822,376,31,,-0.512,-0.183
46,House,4358,41,1,AL,100,0,1,"HERNDON, Thomas Hord",H000534,1828,1883,-0.542,-0.566,-73.16542,0.771,282,32,,-0.538,-0.599
46,House,5631,41,6,AL,100,1,1,"LEWIS, Burwell Boykin",L000272,1838,1885,-0.455,-0.074,-41.53381,0.814,202,19,,-0.418,0.053
46,House,5809,41,8,AL,326,0,1,"LOWE, William Manning",L000474,1842,1882,-0.125,0.992,-123.04018,0.713,363,51,,-0.163,0.987
46,House,8186,41,3,AL,100,0,1,"SAMFORD, William James",S000022,1844,1901,-0.617,0.297,-61.9428,0.849,378,21,,-0.623,0.201
46,House,8436,41,4,AL,100,0,1,"SHELLEY, Charles Miller",S000326,1833,1907,-0.408,-0.333,-90.21588,0.745,306,43,,-0.488,-0.467
46,House,10180,41,5,AL,100,0,1,"WILLIAMS, Thomas",W000537,1825,1903,-0.513,0.152,-71.41439,0.821,362,29,,-0.484,0.006
46,House,2155,42,3,AR,100,0,1,"CRAVENS, Jordan Edgar",C000885,1830,1914,-0.442,-0.127,-93.3036,0.797,411,49,,-0.428,-0.114
46,House,2775,42,1,AR,100,0,1,"DUNN, Poindexter",D000552,1834,1914,-0.454,-0.061,-87.82396,0.743,295,36,,-0.354,0.219
46,House,3879,42,4,AR,100,0,1,"GUNTER, Thomas Montague",G000527,1826,1904,-0.393,0.14,-89.56718,0.774,349,38,,-0.471,-0.137
46,House,8572,42,2,AR,100,0,1,"SLEMONS, William Ferguson",S000484,1830,1918,-0.429,0.126,-103.75384,0.75,361,50,,-0.479,-0.058
46,House,671,71,3,CA,100,0,1,"BERRY, Campbell Polson",B000415,1834,1901,-0.362,0.722,-47.68154,0.789,201,19,,-0.364,0.702
46,House,2386,71,1,CA,200,0,1,"DAVIS, Horace",D000105,1831,1916,0.325,-0.234,-69.2414,0.759,251,34,,0.334,0.136
46,House,7143,71,4,CA,200,0,1,"PACHECO, Romualdo",P000003,1831,1899,0.353,-0.092,-40.27565,0.805,186,17,,0.354,-0.043
46,House,7155,71,2,CA,200,0,1,"PAGE, Horace Francis",P000017,1833,1890,0.371,-0.139,-44.50347,0.79,189,15,,0.371,-0.154
46,House,593,62,1,CO,200,0,1,"BELFORD, James Burns",B000326,1837,1910,0.178,0.237,-86.25917,0.655,204,39,,0.179,0.536
46,House,4220,1,1,CT,200,0,1,"HAWLEY, Joseph Roswell",H000377,1826,1905,0.304,-0.753,-82.77234,0.794,358,41,,0.38,-0.841
46,House,6465,1,4,CT,200,0,1,"MILES, Frederick",M000704,1815,1896,0.477,-0.505,-38.72548,0.802,176,16,,0.43,-0.856
46,House,7400,1,2,CT,100,0,1,"PHELPS, James",P000295,1822,1900,-0.208,-0.092,-135.73612,0.679,350,66,,-0.223,-0.066
46,House,9717,1,3,CT,200,0,1,"WAIT, John Turner",W000025,1811,1899,0.437,-0.494,-51.03517,0.827,268,20,,0.462,-0.854
46,House,6022,11,1,DE,100,0,1,"MARTIN, Edward Livingston",M000178,1837,1897,-0.397,-0.637,-86.52973,0.732,277,48,,-0.429,-0.812
46,House,730,43,2,FL,200,2,1,"BISBEE, Horatio, Jr.",B000485,1839,1916,0.335,-0.459,-12.12871,0.811,58,6,,0.492,-0.111
46,House,2367,43,1,FL,100,0,1,"DAVIDSON, Robert Hamilton McWhorta",D000085,1832,1908,-0.468,-0.196,-65.12185,0.815,318,26,,-0.43,0.036
46,House,4722,43,2,FL,100,1,1,"HULL, Noble Andrew",H000945,1827,1907,-0.443,-0.069,-45.11952,0.815,220,19,,-0.448,-0.105
46,House,804,44,6,GA,100,0,1,"BLOUNT, James Henderson",B000568,1837,1903,-0.459,-0.083,-106.1942,0.682,278,49,,-0.366,-0.112
